startupName,pricingModel,source.name,source.url,collectedAt
Plivo,ENTERPRISE,YC OSS Startup Directory (product surface),https://plivo.com/,2026-09-04T10:29:00.674669
Tempo,PAID,YC OSS Startup Directory (product surface),https://tempo.fit/,2026-09-04T10:29:00.829917
Casetext,ENTERPRISE,YC OSS Startup Directory (product surface),http://casetext.com/,2026-09-04T10:29:01.345019
Deepgram,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.deepgram.com/,2026-09-04T10:29:02.405803
Checkr,ENTERPRISE,YC OSS Startup Directory (product surface),http://www.checkr.com/,2026-09-04T10:29:02.688790
Caper,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.caper.ai/,2026-09-04T10:29:02.793999
Sendbird,ENTERPRISE,YC OSS Startup Directory (product surface),https://sendbird.com/,2026-09-04T10:29:02.961582
Tule,ENTERPRISE,YC OSS Startup Directory (product surface),http://tuletechnologies.com/,2026-09-04T10:29:03.141321
OneChronos,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.onechronos.com/,2026-09-04T10:29:03.450648
Podium,ENTERPRISE,YC OSS Startup Directory (product surface),https://podium.com/,2026-09-04T10:29:03.592410
Paperspace,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.paperspace.com/pricing,2026-09-04T10:29:03.666858
Scale AI,ENTERPRISE,YC OSS Startup Directory (product surface),http://scale.com/,2026-09-04T10:29:04.252431
Voiceops,ENTERPRISE,YC OSS Startup Directory (product surface),https://voiceops.com/,2026-09-04T10:29:04.733748
ROSS Intelligence,PAID,YC OSS Startup Directory (product surface),https://www.rossintelligence.com/pricing.html,2026-09-04T10:29:05.222812
People.ai,ENTERPRISE,YC OSS Startup Directory (product surface),https://people.ai/,2026-09-04T10:29:06.051684
Bountiful,PAID,YC OSS Startup Directory (product surface),https://bountiful.ag/,2026-09-04T10:29:06.054680
NanoNets,FREEMIUM,YC OSS Startup Directory (product surface),https://nanonets.com/,2026-09-04T10:29:06.055876
Superside,ENTERPRISE,YC OSS Startup Directory (product surface),http://www.superside.com/,2026-09-04T10:29:06.362820
Daily,FREEMIUM,YC OSS Startup Directory (product surface),https://daily.co/pricing/video-sdk/,2026-09-04T10:29:06.367339
"Veryfi, Inc.",FREE,YC OSS Startup Directory (product surface),https://www.veryfi.com/,2026-09-04T10:29:06.668807
Flock Safety,ENTERPRISE,YC OSS Startup Directory (product surface),http://www.flocksafety.com/,2026-09-04T10:29:06.902264
Skyways,ENTERPRISE,YC OSS Startup Directory (product surface),http://skyways.com/,2026-09-04T10:29:07.077615
AssemblyAI,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.assemblyai.com/,2026-09-04T10:29:07.832849
