entityName,employeeCount,source.name,source.url,collectedAt
Semantics3,25,YC OSS Startup Directory,https://www.ycombinator.com/companies/semantics3,2026-09-04T11:45:54.868305
SalesSift,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/salessift,2026-09-04T11:45:54.869305
Cruise,3000,YC OSS Startup Directory,https://www.ycombinator.com/companies/cruise,2026-09-04T11:45:54.888339
Tule,8,YC OSS Startup Directory,https://www.ycombinator.com/companies/tule,2026-09-04T11:45:54.908549
20n,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/20n,2026-09-04T11:45:54.920549
Casetext,50,YC OSS Startup Directory,https://www.ycombinator.com/companies/casetext,2026-09-04T11:45:54.929554
OpenCurriculum,,YC OSS Startup Directory,https://www.ycombinator.com/companies/opencurriculum,2026-09-04T11:45:54.946019
Sift,,YC OSS Startup Directory,https://www.ycombinator.com/companies/sift,2026-09-04T11:45:54.914550
Zeitview,200,YC OSS Startup Directory,https://www.ycombinator.com/companies/zeitview,2026-09-04T11:45:54.954019
Magic,350,YC OSS Startup Directory,https://www.ycombinator.com/companies/magic,2026-09-04T11:45:54.949020
MixerBox,30,YC OSS Startup Directory,https://www.ycombinator.com/companies/mixerbox,2026-09-04T11:45:54.961036
Paperspace,50,YC OSS Startup Directory,https://www.ycombinator.com/companies/paperspace,2026-09-04T11:45:54.980876
Tempo,158,YC OSS Startup Directory,https://www.ycombinator.com/companies/tempo,2026-09-04T11:45:55.029937
Marft,3,YC OSS Startup Directory,https://www.ycombinator.com/companies/marft,2026-09-04T11:45:55.023930
Checkr,800,YC OSS Startup Directory,https://www.ycombinator.com/companies/checkr,2026-09-04T11:45:54.991398
Dabble,3,YC OSS Startup Directory,https://www.ycombinator.com/companies/dabble,2026-09-04T11:45:55.071023
Standard Cyborg,9,YC OSS Startup Directory,https://www.ycombinator.com/companies/standard-cyborg,2026-09-04T11:45:55.085188
Tara AI,13,YC OSS Startup Directory,https://www.ycombinator.com/companies/tara-ai,2026-09-04T11:45:55.092707
Mashgin,150,YC OSS Startup Directory,https://www.ycombinator.com/companies/mashgin,2026-09-04T11:45:55.110996
Yhat,17,YC OSS Startup Directory,https://www.ycombinator.com/companies/yhat,2026-09-04T11:45:55.057023
Replika,28,YC OSS Startup Directory,https://www.ycombinator.com/companies/replika,2026-09-04T11:45:55.117987
ROSS Intelligence,30,YC OSS Startup Directory,https://www.ycombinator.com/companies/ross-intelligence,2026-09-04T11:45:55.129987
Akido Labs,1000,YC OSS Startup Directory,https://www.ycombinator.com/companies/akido-labs,2026-09-04T11:45:54.974868
SigOpt,23,YC OSS Startup Directory,https://www.ycombinator.com/companies/sigopt,2026-09-04T11:45:55.068022
Reduced Energy Microsystems,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/reduced-energy-microsystems,2026-09-04T11:45:55.167988
Microhealth,25,YC OSS Startup Directory,https://www.ycombinator.com/companies/microhealth,2026-09-04T11:45:55.153991
Deepgram,115,YC OSS Startup Directory,https://www.ycombinator.com/companies/deepgram,2026-09-04T11:45:55.203937
Resolve,10,YC OSS Startup Directory,https://www.ycombinator.com/companies/resolve,2026-09-04T11:45:55.036940
